Saniye	Robot-1 Robot-2 Robot-3 Robot-4 Robot-5 Robot-6 Robot-7 Robot-8 Robot-9
  1)	   0	   0	   0	   1	   1	   0	   0	   0	   1
  2)	   1	   0	   1	   0	   0	   0	   1	   1	   0
  3)	   0	   0	   0	   0	   0	   1	   1	   1	   0
  4)	   1	   0	   0	   0	   1	   1	   0	   0	   0
  5)	   1	   0	   1	   1	   0	   0	   1	   0	   0
  6)	   0	   0	   0	   1	   0	   1	   1	   1	   0
  7)	   1	   1	   0	   0	   1	   1	   1	   0	   0
  8)	   0	   0	   0	   1	   0	   0	   0	   0	   0
  9)	   1	   1	   1	   1	   1	   0	   0	   1	   0
  10)	   1	   1	   0	   0	   0	   0	   0	   1	   0
  11)	   0	   0	   0	   0	   0	   0	   1	   0	   1
  12)	   0	   1	   0	   0	   0	   1	   0	   1	   1
  13)	   0	   1	   1	   0	   0	   0	   0	   0	   0
  14)	   0	   1	   0	   0	   1	   1	   0	   0	   0
  15)	   1	   0	   0	   1	   0	   0	   1	   1	   0
  16)	   0	   0	   0	   0	   0	   1	   0	   0	   0
  17)	   0	   0	   1	   0	   0	   0	   1	   0	   1
  18)	   0	   1	   0	   0	   0	   0	   0	   0	   0
  19)	   0	   0	   1	   1	   1	   0	   0	   0	   1
  20)	   0	   1	   0	   0	   1	   0	   0	   0	   0
  21)	   1	   0	   0	   1	   1	   0	   1	   0	   1
  22)	   1	   0	   0	   0	   0	   0	   0	   0	   0
  23)	   0	   0	   0	   1	   0	   0	   0	   0	   0
  24)	   1	   0	   0	   0	   0	   1	   0	   0	   0
  25)	   1	   0	   0	   1	   0	   1	   0	   0	   0
  26)	   0	   0	   0	   0	   0	   0	   0	   0	   0
  27)	   0	   0	   1	   1	   1	   0	   1	   1	   0
  28)	   0	   0	   0	   0	   0	   0	   0	   1	   0
  29)	   0	   1	   0	   1	   0	   0	   0	   0	   0
  30)	   1	   0	   0	   0	   0	   0	   0	   1	   0
  31)	   0	   1	   0	   1	   0	   0	   0	   1	   0
  32)	   0	   0	   0	   1	   1	   0	   1	   1	   0
  33)	   0	   0	   0	   0	   0	   0	   0	   0	   0
  34)	   1	   1	   1	   0	   1	   0	   0	   0	   0
  35)	   0	   0	   1	   0	   0	   0	   0	   0	   0
  36)	   1	   0	   0	   1	   0	   1	   0	   0	   0
  37)	   1	   1	   1	   0	   1	   0	   0	   0	   0
  38)	   0	   0	   0	   0	   1	   0	   0	   0	   0
  39)	   0	   0	   0	   1	   0	   0	   0	   0	   0
  40)	   0	   0	   1	   0	   0	   0	   0	   1	   0
  41)	   0	   0	   1	   0	   0	   0	   1	   1	   1
  42)	   1	   0	   0	   0	   0	   1	   0	   1	   0
  43)	   1	   0	   0	   0	   1	   1	   0	   0	   0
  44)	   1	   0	   1	   0	   0	   0	   0	   1	   0
  45)	   0	   1	   0	   1	   0	   0	   0	   1	   1
  46)	   0	   0	   1	   0	   0	   0	   1	   0	   0
  47)	   1	   1	   0	   1	   0	   0	   1	   1	   1
  48)	   0	   1	   1	   1	   1	   0	   0	   0	   0
  49)	   0	   0	   1	   0	   1	   0	   0	   0	   0
  50)	   1	   0	   1	   1	   1	   0	   0	   1	   0
  51)	   0	   0	   1	   0	   1	   0	   1	   0	   1
  52)	   0	   0	   0	   0	   1	   0	   0	   0	   1
  53)	   0	   1	   1	   0	   0	   0	   0	   0	   1
  54)	   1	   0	   1	   0	   1	   1	   1	   1	   0
  55)	   0	   1	   0	   0	   0	   1	   0	   0	   1
  56)	   0	   0	   0	   0	   1	   0	   0	   0	   0
  57)	   0	   0	   1	   0	   1	   0	   0	   0	   0
  58)	   0	   0	   0	   1	   0	   1	   0	   1	   0
  59)	   0	   0	   1	   0	   0	   0	   0	   1	   0
  60)	   0	   0	   0	   0	   1	   0	   1	   0	   0
